size,runtime,iters,time variance,iters variance,num timeouts,semantics,start weights,strategy,graph,iterations per argument
40,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,100
50,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,100
60,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,100
70,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,100
80,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,100
90,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,100
100,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,100
110,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,100
120,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,100
130,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,100
140,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,100
150,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,100
10,0.0522924558333331,17.333333333333332,0.0416446310980702,11.395905697515518,9,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,2000
20,0.8011508953333314,167.33333333333334,0.881632517490756,181.33210783899617,12,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,2000
30,0.4657110469999992,61.5,0.3343562504142391,37.476659402887016,13,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,2000
40,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,2000
50,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,2000
60,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,2000
70,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,2000
80,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,2000
90,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,2000
100,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,2000
110,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,2000
120,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,2000
130,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,2000
140,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,2000
150,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,2000
10,0.0523987659999998,17.333333333333332,0.0416158643280697,11.395905697515518,9,mbs,default,pick_arg_most_to_least_pref,erdos0.3,2000
20,0.8057233783333343,167.33333333333334,0.8841821950903076,181.33210783899617,12,mbs,default,pick_arg_most_to_least_pref,erdos0.3,2000
30,0.4655448319999919,61.5,0.3324575470843571,37.476659402887016,13,mbs,default,pick_arg_most_to_least_pref,erdos0.3,2000
40,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,2000
50,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,2000
60,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,2000
70,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,2000
80,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,2000
90,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,2000
100,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,2000
110,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,2000
120,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,2000
130,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,2000
140,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,2000
150,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,2000
10,0.0004199933999984,0.0,1.2561291785002597e-05,0.0,10,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,10
20,0.0005532309999978,0.0,0.0,0.0,14,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,10
30,0.4920702029999972,93.0,0.0,0.0,14,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,10
40,0.0009895709999909,0.0,0.0,0.0,14,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,10
50,0.0012468719999674,0.0,0.0,0.0,14,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,10
60,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,10
70,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,10
80,0.002373532500087,0.0,3.2736922757181334e-05,0.0,13,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,10
90,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,10
100,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,10
110,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,10
120,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,10
130,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,10
140,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,10
150,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,10
10,0.0004096297999993,0.0,1.5738888912326187e-05,0.0,10,mbs,default,pick_arg_most_to_least_pref,erdos0.5,10
20,0.0005216419999953,0.0,0.0,0.0,14,mbs,default,pick_arg_most_to_least_pref,erdos0.5,10
30,0.4829687700000136,93.0,0.0,0.0,14,mbs,default,pick_arg_most_to_least_pref,erdos0.5,10
40,0.0010043029999735,0.0,0.0,0.0,14,mbs,default,pick_arg_most_to_least_pref,erdos0.5,10
50,0.0012561540000319,0.0,0.0,0.0,14,mbs,default,pick_arg_most_to_least_pref,erdos0.5,10
60,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.5,10
70,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.5,10
80,0.0023709079999889,0.0,3.330472928378957e-06,0.0,13,mbs,default,pick_arg_most_to_least_pref,erdos0.5,10
